date,x,y,effort,nsets,cpue,FEI
2013-03,-20.5,23.5,53.5493049621582,13,119.538459777832,0.00066732510458678
2013-04,-20.5,23.5,11.3518056869507,3,736.333312988281,0.000144608522532508
2013-04,-20.5,22.5,63.3116683959961,2,618.5,0.00331235327757895
2013-04,-21.5,18.5,7.19680547714233,4,1989.75,0.000208921774174087
2013-05,-61.5,38.5,38.727222442627,2,354,0.000250378740020096
2013-05,-58.5,38.5,28.6180553436279,2,1188.5,0.000185021082870662
2013-05,-57.5,38.5,74.701530456543,4,582.5,0.000488468387629837
2013-05,-56.5,38.5,87.2558364868164,8,1229.625,0.0005727379466407
2013-05,-50.5,38.5,116.789169311523,12,1353.08337402344,0.0007907361141406
2013-05,-49.5,38.5,165.223327636719,10,2254.39990234375,0.00113203632645309
2013-05,-55.5,37.5,35.5491676330566,4,659.5,0.00023513582709711
2013-05,-54.5,37.5,24.9966659545898,2,1050,0.000165337536600418
2013-05,-53.5,37.5,15.899582862854,2,1791,0.000333844684064388
2013-05,-52.5,37.5,52.1784706115723,2,2441,0.000724233337678015
2013-05,-51.5,37.5,53.9555549621582,9,2321.66674804688,0.00111669441685081
2013-05,-50.5,37.5,62.5601387023926,7,2053.42846679688,0.000425245671067387
2013-05,-49.5,37.5,150.069580078125,15,2651.53344726562,0.00102820969186723
2013-06,-53.5,39.5,11.3654165267944,2,2842,5.44444519618992e-05
2013-07,-42.5,45.5,393.495147705078,38,1314.73681640625,0.002434205962345
2013-07,-43.5,44.5,98.700553894043,2,1520,0.000896712474059314
2013-07,-47.5,43.5,63.7411117553711,9,1527.55554199219,0.00137388543225825
2013-07,-46.5,43.5,155.635971069336,13,1361.61535644531,0.00442881789058447
2013-07,-45.5,43.5,186.952911376953,15,712.266662597656,0.00108986557461321
2013-07,-44.5,43.5,594.55859375,22,618,0.00354543421417475
2013-07,-43.5,43.5,446.601379394531,22,936.454528808594,0.00403368193656206
2013-07,-48.5,42.5,146.041946411133,24,1545.45837402344,0.000756488356273621
2013-07,-47.5,42.5,458.260284423828,30,2164.53344726562,0.00238814693875611
2013-07,-45.5,42.5,114.122497558594,16,1077.25,0.000688635045662522
2013-07,-49.5,41.5,110.583610534668,15,1101.06665039062,0.00113203434739262
2013-07,-48.5,41.5,194.508895874023,10,950.700012207031,0.00100754422601312
2013-07,-47.5,41.5,61.3898620605469,9,365.111114501953,0.000367855682270601
2013-07,-45.5,41.5,259.436798095703,12,908.25,0.00155457761138678
2013-07,-51.5,40.5,41.6963882446289,6,1055,0.000206648226594552
2013-07,-50.5,40.5,80.9237518310547,5,1066.40002441406,0.000406923383707181
2013-07,-49.5,40.5,123.023056030273,6,872.166687011719,0.000732067972421646
2013-07,-48.5,40.5,37.8322219848633,2,576.5,0.000225908239372075
2013-07,8.5,-26.5,358.697357177734,60,776.666687011719,0.0411244072020054
2013-07,9.5,-26.5,18.3222217559814,2,432.5,0.000525157549418509
2013-07,8.5,-27.5,301.256958007812,27,856.296325683594,0.0172694511711597
2013-07,9.5,-28.5,51.1368064880371,4,1612.5,0.00146569998469204
2013-07,10.5,-29.5,28.9311103820801,6,631.833312988281,0.000829233031254262
2013-08,-39.5,48.5,68.3151397705078,10,2247,0.00132350530475378
2013-08,-40.5,47.5,90.8677749633789,6,690,0.000576638092752546
2013-08,-38.5,47.5,240.561248779297,16,2009.0625,0.00157901819329709
2013-08,-37.5,47.5,9.76986122131348,5,4036,0.000129243213450536
2013-08,-41.5,46.5,53.5588874816895,8,617.5,0.000697563169524074
2013-08,-39.5,46.5,48.4120826721191,2,570,0.000326494831824675
2013-08,-38.5,46.5,57.5743064880371,12,1137.75,0.000383770646294579
2013-08,-43.5,45.5,165.231109619141,20,581.900024414062,0.00102954532485455
2013-08,-42.5,45.5,100.261108398438,16,1140.125,0.000624721054919064
2013-08,-44.5,44.5,135.927505493164,6,990,0.000865777547005564
2013-09,-41.5,46.5,36.8886108398438,3,640,0.00031878799200058
2013-09,-46.5,43.5,22.6744441986084,2,700,0.00018837749667
2013-10,-55.5,42.5,241.575836181641,15,2759.66674804688,0.00504095107316971
2013-10,-54.5,42.5,1631.78625488281,46,3162.54345703125,0.0160615257918835
2013-10,-53.5,42.5,291.160278320312,15,1799.46667480469,0.00227610534057021
2013-10,-52.5,42.5,303.239868164062,38,2754.07885742188,0.0143751092255116
2013-10,-56.5,41.5,159.141250610352,12,3098.5,0.00321989413350821
2013-10,-55.5,41.5,403.764862060547,20,4055.64990234375,0.00408453214913607
2013-10,-54.5,41.5,683.714416503906,49,2419.65307617188,0.0114664882421494
2013-10,-56.5,40.5,79.0805587768555,6,2202.33325195312,0.000795309839304537
2013-10,-55.5,40.5,76.5405578613281,4,2232,0.00215289741754532
2013-10,-40.5,39.5,60.0061111450195,4,1368,0.00056700489949435
2013-10,-50.5,38.5,40.3691673278809,4,787.75,0.000332191557390615
2013-10,-48.5,38.5,10.5152778625488,2,661,4.55504814453889e-05
2013-11,-55.5,42.5,745.190856933594,32,2773.0625,0.0463358946144581
2013-11,-54.5,42.5,318.814575195312,21,2425.33325195312,0.010263011790812
2013-11,-53.5,42.5,51.1013870239258,2,874,0.00143596215639263
2013-11,-54.5,40.5,38.9270820617676,2,1323.5,0.00033472225186415
2013-11,-44.5,40.5,50.0618057250977,2,1070,0.00116443517617881
2013-11,-43.5,40.5,13.0886106491089,2,500,0.000568974821362644
2013-11,-53.5,39.5,11.0984725952148,10,1613.69995117188,9.4957635155879e-05
2013-11,-44.5,39.5,5.76138877868652,4,572.5,3.3248623367399e-05
2013-11,-48.5,38.5,25.5719451904297,8,964.125,0.000112761772470549
2013-11,-47.5,38.5,116.165000915527,6,789.166687011719,0.00325840292498469
2013-11,-47.5,37.5,64.7941665649414,8,746,0.000953375012613833
2013-11,-46.5,37.5,7.70180559158325,2,230,4.11338551202789e-05
2013-11,-45.5,37.5,30.0566673278809,2,623.5,0.000323566637234762
2013-11,-47.5,36.5,165.976943969727,19,707.789489746094,0.000834611535537988
2013-11,-46.5,36.5,48.0769462585449,8,420.125,0.00149361905641854
2013-12,-55.5,42.5,34.1718063354492,4,1813.25,0.000518913031555712
2013-12,-55.5,40.5,103.783470153809,6,4312.83349609375,0.00176713429391384
2013-12,-54.5,39.5,90.4997253417969,10,3139.39990234375,0.0015563596971333
2013-12,-46.5,38.5,54.3266677856445,2,1705,0.00190688692964613
2013-12,-48.5,37.5,65.5126419067383,13,1885.23071289062,0.00124837190378457
2013-12,-47.5,35.5,27.8786106109619,2,1344.5,0.000815687468275428
2013-12,-47.5,34.5,204.217910766602,23,849.739135742188,0.00404846761375666
2013-12,-47.5,33.5,86.8584747314453,14,1067.5,0.00175220251549035
2013-12,-47.5,32.5,62.5701370239258,3,736,0.00383240636438131
2013-12,-47.5,31.5,27.4361114501953,2,1054.5,0.00056170200696215
2013-12,-46.5,31.5,2.28013896942139,2,599,4.5597418647958e-05
2014-01,-7.5,44.5,5.91708326339722,4,1723.75,0.00013468085671775
2014-01,-46.5,34.5,66.9706954956055,2,1246.5,0.000992863555438817
2014-01,-48.5,33.5,58.7174987792969,4,1459.25,0.00563722848892212
2014-01,-47.5,33.5,49.1656951904297,2,1575,0.00210108119063079
2014-01,-46.5,33.5,91.8511123657227,2,3000,0.00654196366667747
2014-01,-45.5,33.5,135.059173583984,6,1669.83337402344,0.00492200581356883
2014-01,-47.5,32.5,32.8498611450195,2,1200,0.000504403666127473
2014-01,-46.5,32.5,99.3677749633789,4,1125,0.0046049035154283
2014-02,-46.5,38.5,35.0662498474121,4,1768,0.000317393831210211
2014-02,-46.5,37.5,118.742362976074,8,1510.5,0.00109201052691787
2014-02,-51.5,36.5,96.630973815918,4,2958.5,0.00479365745559335
2014-02,-46.5,36.5,49.1661109924316,6,1574.5,0.000457042799098417
2014-02,-19.5,36.5,15.1184720993042,2,100,0.00028415973065421
2014-02,-18.5,36.5,18.2643051147461,2,500,0.000339565973263234
2014-02,-46.5,35.5,87.9633331298828,4,1656,0.000817697553429753
2014-03,-22.5,40.5,194.080825805664,10,1235.5,0.00423837313428521
2014-04,-44.5,36.5,301.329437255859,14,1388.92858886719,0.00773445097729564
