"ID","species","tagtype","date","x","y"
"S3","A","PSAT",2012-01-01,-37.02814051,5.652572372
"S3","A","PSAT",2012-01-02,-37.46368299,5.431697633
"S3","A","PSAT",2012-01-03,-37.1905524,5.866681546
"S3","A","PSAT",2012-01-04,-37.07328281,6.522393427
"S3","A","PSAT",2012-01-05,-37.38402335,6.077161177
"S3","A","PSAT",2012-01-06,-37.28287516,6.024792876
"S3","A","PSAT",2012-01-07,-37.21897852,5.992278694
"S3","A","PSAT",2012-01-08,-36.61128602,6.321358302
"S3","A","PSAT",2012-01-09,-36.81288426,5.732349753
"S3","A","PSAT",2012-01-10,-36.90402765,6.257271875
"S3","A","PSAT",2012-01-11,-36.8059181,6.590505535
"S3","A","PSAT",2012-01-12,-36.85478448,7.015975907
"S3","A","PSAT",2012-01-13,-37.42081291,7.169379596
"S3","A","PSAT",2012-01-14,-37.51491769,6.920386601
"S3","A","PSAT",2012-01-15,-36.82232822,7.264314102
"S3","A","PSAT",2012-01-16,-36.36378747,6.692213034
"S3","A","PSAT",2012-01-17,-36.44112914,6.306334859
"S3","A","PSAT",2012-01-18,-37.01247141,6.020800598
"S3","A","PSAT",2012-01-19,-37.75668799,6.151039954
"S3","A","PSAT",2012-01-20,-38.24439117,6.247595578
"S3","A","PSAT",2012-01-21,-38.54398998,6.414880264
"S3","A","PSAT",2012-01-22,-38.73821437,7.05215123
"S3","A","PSAT",2012-01-23,-38.40856662,7.074066381
"S3","A","PSAT",2012-01-24,-38.61901632,7.595963896
"S3","A","PSAT",2012-01-25,-38.40431969,7.473411469
"S3","A","PSAT",2012-01-26,-38.76545111,7.702777358
"S3","A","PSAT",2012-01-27,-38.8191374,7.065931451
"S3","A","PSAT",2012-01-28,-38.38630902,6.949893882
"S3","A","PSAT",2012-01-29,-38.03328565,6.482703637
"S3","A","PSAT",2012-01-30,-37.33100269,6.271533639
"S3","A","PSAT",2012-01-31,-37.36471516,6.315683678
"S3","A","PSAT",2012-02-01,-37.65281752,5.83648012
"S3","A","PSAT",2012-02-02,-38.05751185,6.221761165
"S3","A","PSAT",2012-02-03,-37.87990721,6.43200438
"S3","A","PSAT",2012-02-04,-37.7381813,7.065851547
"S3","A","PSAT",2012-02-05,-37.47894567,6.610230218
"S3","A","PSAT",2012-02-06,-37.46217615,6.262518047
"S3","A","PSAT",2012-02-07,-37.99343122,6.29450235
"S3","A","PSAT",2012-02-08,-37.99252788,6.392056147
"S3","A","PSAT",2012-02-09,-38.46157215,6.378642973
"S3","A","PSAT",2012-02-10,-39.17670031,6.695095295
"S3","A","PSAT",2012-02-11,-39.52427108,7.3510243
"S3","A","PSAT",2012-02-12,-39.62325763,7.539753882
"S3","A","PSAT",2012-02-13,-39.18349821,7.58328135
"S3","A","PSAT",2012-02-14,-39.42838877,7.348913856
"S3","A","PSAT",2012-02-15,-39.12802518,7.142330604
"S3","A","PSAT",2012-02-16,-39.18064167,6.783888818
"S3","A","PSAT",2012-02-17,-39.3745321,6.790918237
"S3","A","PSAT",2012-02-18,-39.07469243,6.814611878
"S3","A","PSAT",2012-02-19,-39.03882318,6.648809465
"S3","A","PSAT",2012-02-20,-38.50983337,6.942711502
"S3","A","PSAT",2012-02-21,-38.01553213,6.533367376
"S3","A","PSAT",2012-02-22,-37.96905342,5.982615627
"S3","A","PSAT",2012-02-23,-37.73625598,5.69536745
"S3","A","PSAT",2012-02-24,-37.8483518,6.285220539
"S3","A","PSAT",2012-02-25,-38.04746219,6.002944221
"S3","A","PSAT",2012-02-26,-37.53104522,6.22656662
"S3","A","PSAT",2012-02-27,-37.82346348,6.08031885
"S3","A","PSAT",2012-02-28,-38.13822407,6.137574368
"S3","A","PSAT",2012-02-29,-37.63977016,6.413183734
"S3","A","PSAT",2012-03-01,-37.74839051,6.913670295
"S3","A","PSAT",2012-03-02,-37.6559493,6.682711065
"S3","A","PSAT",2012-03-03,-37.36292727,6.240525901
"S3","A","PSAT",2012-03-04,-37.22935312,6.763920055
"S3","A","PSAT",2012-03-05,-36.86875812,7.179599377
"S3","A","PSAT",2012-03-06,-36.2855557,7.391735899
"S3","A","PSAT",2012-03-07,-36.27087806,7.521427746
"S3","A","PSAT",2012-03-08,-36.32088869,7.346882867
"S3","A","PSAT",2012-03-09,-36.30403786,7.019569876
"S3","A","PSAT",2012-03-10,-36.34613438,6.903953527
"S3","A","PSAT",2012-03-11,-36.21491464,7.473632786
"S3","A","PSAT",2012-03-12,-36.13918232,7.8737989
"S3","A","PSAT",2012-03-13,-36.55535562,8.567026587
"S3","A","PSAT",2012-03-14,-37.03444334,9.056997131
"S3","A","PSAT",2012-03-15,-37.56786378,9.448817657
"S3","A","PSAT",2012-03-16,-37.95460226,9.18126318
"S3","A","PSAT",2012-03-17,-37.47084285,9.109323153
"S3","A","PSAT",2012-03-18,-37.1714673,8.938831203
"S3","A","PSAT",2012-03-19,-36.6958503,8.66338884
"S3","A","PSAT",2012-03-20,-36.72626179,8.957689951
"S3","A","PSAT",2012-03-21,-36.68605228,9.023477047
"S3","A","PSAT",2012-03-22,-36.5764402,9.379295331
"S3","A","PSAT",2012-03-23,-36.33111412,8.872522318
"S3","A","PSAT",2012-03-24,-36.64400286,9.271027256
"S3","A","PSAT",2012-03-25,-36.5828996,9.276485094
"S3","A","PSAT",2012-03-26,-37.17662608,9.690637539
"S3","A","PSAT",2012-03-27,-37.51820704,9.831776577
"S3","A","PSAT",2012-03-28,-38.05405535,10.20093907
"S3","A","PSAT",2012-03-29,-38.38812175,10.49848997
"S3","A","PSAT",2012-03-30,-38.65045962,10.13908393
"S3","A","PSAT",2012-03-31,-38.40632294,10.19344194
"S3","A","PSAT",2012-04-01,-38.50419191,10.29817855
"S3","A","PSAT",2012-04-02,-39.0045682,9.890526139
"S3","A","PSAT",2012-04-03,-38.39189288,10.28318809
"S3","A","PSAT",2012-04-04,-38.17523279,10.6574236
"S3","A","PSAT",2012-04-05,-38.53187682,11.15371797
"S3","A","PSAT",2012-04-06,-38.87624558,11.28139336
"S3","A","PSAT",2012-04-07,-39.40811475,11.04645453
"S3","A","PSAT",2012-04-08,-39.51556414,10.97975733
"S3","A","PSAT",2012-04-09,-40.0204867,11.00951485
"S3","A","PSAT",2012-04-10,-40.59328876,10.78878969
"S3","A","PSAT",2012-04-11,-39.97012779,11.25628283
"S3","A","PSAT",2012-04-12,-39.79995624,10.85231977
"S3","A","PSAT",2012-04-13,-39.91801843,11.02287882
"S3","A","PSAT",2012-04-14,-39.8720391,11.43804784
"S3","A","PSAT",2012-04-15,-39.91084953,11.86682392
"S3","A","PSAT",2012-04-16,-39.80424369,11.1480937
"S3","A","PSAT",2012-04-17,-39.42148843,11.26641609
"S3","A","PSAT",2012-04-18,-39.87865494,11.66595107
"S3","A","PSAT",2012-04-19,-39.45758486,11.37302908
"S3","A","PSAT",2012-04-20,-39.96080159,11.32563317
"S3","A","PSAT",2012-04-21,-40.37273377,11.64070795
"S3","A","PSAT",2012-04-22,-39.85960055,11.9316148
"S3","A","PSAT",2012-04-23,-39.72239976,11.62187449
"S3","A","PSAT",2012-04-24,-39.82185786,11.76444027
"S3","A","PSAT",2012-04-25,-39.52833671,11.91600001
"S3","A","PSAT",2012-04-26,-39.52627112,11.91456744
"S3","A","PSAT",2012-04-27,-39.40266657,12.18844945
"S3","A","PSAT",2012-04-28,-39.5368911,12.39614138
"S3","A","PSAT",2012-04-29,-39.50982785,11.72707958
"S3","A","PSAT",2012-04-30,-39.36241999,11.1559825
"S3","A","PSAT",2012-05-01,-39.03152584,10.69076636
"S3","A","PSAT",2012-05-02,-38.42706283,10.26602829
"S3","A","PSAT",2012-05-03,-38.47914602,9.600282279
"S3","A","PSAT",2012-05-04,-38.33554967,8.979740155
