date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-02-01,-4350,-6075,ARG,trawlers,5.2680555555555557,0,1
2012-02-01,-4860,-6091,ARG,trawlers,1.6070833333333334,1.6070833333333334,1
2012-02-01,-4860,-6093,ARG,trawlers,0.77583333333333326,0.77583333333333326,1
2012-02-01,-4604,-6198,ARG,trawlers,2.3808333333333334,0,1
2012-02-01,-4859,-6091,ARG,trawlers,2.2212500000000004,2.2212500000000004,1
2012-02-01,-4859,-6525,ARG,trawlers,2.3893055555555556,0,1
2012-02-01,-4603,-6241,ARG,squid_jigger,1.6091666666666669,0,1
2012-02-01,-4603,-6239,ARG,squid_jigger,4.5443055555555558,0,1
2012-02-01,-4600,-6646,ARG,fixed_gear,4.5123611111111108,0,1
2012-02-01,-4344,-6196,ARG,trawlers,1.6765277777777778,0,1
2012-02-01,-4344,-6195,ARG,trawlers,0.047916666666666663,0,1
2012-02-01,-4088,-6172,ARG,trawlers,0.76250000000000007,0,1
2012-02-01,-4599,-6650,ARG,fixed_gear,1.5970833333333334,1.5970833333333334,1
2012-02-01,-4343,-6195,ARG,trawlers,0.72652777777777777,0,1
2012-02-01,-4598,-6267,ARG,trawlers,4.5254166666666666,0,1
2012-02-01,-4598,-6282,ARG,trawlers,2.1556944444444444,0,1
2012-02-01,-4598,-6271,ARG,trawlers,1.6155555555555556,0,1
2012-02-01,-4085,-6171,ARG,trawlers,1.4179166666666667,0,1
2012-02-01,-4852,-6372,ARG,purse_seines,3.8404166666666666,0,1
2012-02-01,-4595,-6236,ARG,squid_jigger,3.7530555555555556,0,1
2012-02-01,-4339,-6031,ARG,trawlers,0.81805555555555554,0,1
2012-02-01,-4850,-6372,ARG,purse_seines,0.76125000000000009,0,1
2012-02-01,-4338,-6030,ARG,trawlers,0.78999999999999992,0,1
2012-02-01,-4849,-6085,ARG,trawlers,4.9008333333333329,4.9008333333333329,1
2012-02-01,-3825,-5753,ARG,trawlers,5.2833333333333332,0,1
2012-02-01,-4592,-6658,ARG,fixed_gear,4.0220833333333337,4.0220833333333337,1
2012-02-01,-4592,-6657,ARG,fixed_gear,0.78763888888888889,0.78763888888888889,1
2012-02-01,-4336,-6292,ARG,trawlers,0.79583333333333339,0,1
2012-02-01,-4080,-6489,ARG,trawlers,91.979166666666657,0,4
2012-02-01,-4080,-6489,ARG,other_fishing,13.324027777777777,0,1
2012-02-01,-3568,-5541,ARG,trawlers,5.291666666666667,0,1
2012-02-01,-4335,-6293,ARG,trawlers,0.772638888888889,0,1
2012-02-01,-4590,-6720,ARG,fixed_gear,0.77486111111111111,0,1
2012-02-01,-4590,-6719,ARG,fixed_gear,1.4418055555555556,0,1
2012-02-01,-3821,-5751,ARG,trawlers,2.2929166666666667,0,1
2012-02-01,-4588,-6731,ARG,fixed_gear,0.79027777777777775,0,1
2012-02-01,-4588,-6729,ARG,fixed_gear,3.787638888888889,0,1
2012-02-01,-4588,-6171,ARG,trawlers,0.81180555555555545,0,1
2012-02-01,-4587,-6740,ARG,fixed_gear,0.77916666666666667,0,1
2012-02-01,-4587,-6176,ARG,trawlers,4.5277777777777777,0,1
2012-02-01,-3563,-5548,ARG,trawlers,5.7255555555555553,0,1
2012-02-01,-3563,-5547,ARG,trawlers,0.8223611111111111,0,1
