spp,id,dit,nCellShr,nCellBoat,overlap
A,Dit_A_S1_01_1,0.0169584245813894,53,42,79.2452830188679
A,Dit_A_S3_01_1,0.0171407732195803,54,24,44.4444444444444
A,Dit_A_S1_02_1,0.01553610508563,57,40,70.1754385964912
A,Dit_A_S3_02_1,0.0155361049473868,41,7,17.0731707317073
A,Dit_A_S1_03_1,0.0169584245159058,49,38,77.5510204081633
A,Dit_A_S3_03_1,0.0169584247050807,44,8,18.1818181818182
A,Dit_A_S1_04_1,0.0164113785504014,47,37,78.7234042553192
A,Dit_A_S3_04_1,0.016411378448538,50,8,16
A,Dit_A_S1_05_1,0.016958424646873,50,28,56
A,Dit_A_S3_05_1,0.016958424479526,51,14,27.4509803921569
A,Dit_A_S1_06_1,0.0164113784121582,52,16,30.7692307692308
A,Dit_A_S3_06_1,0.0164113785285736,46,20,43.4782608695652
A,Dit_A_S1_07_1,0.0169584245086298,57,32,56.140350877193
A,Dit_A_S3_07_1,0.0169584245304577,44,8,18.1818181818182
A,Dit_A_S1_08_1,0.0169584245377337,53,52,98.1132075471698
A,Dit_A_S3_08_1,0.0169584245959413,41,5,12.1951219512195
A,Dit_A_S1_09_1,0.0164113785067457,46,40,86.9565217391305
A,Dit_A_S3_09_1,0.0164113786449889,52,1,1.92307692307692
A,Dit_A_S1_10_1,0.016958424486802,56,48,85.7142857142857
A,Dit_A_S3_10_1,0.0169584243631107,40,1,2.5
A,Dit_A_S1_11_1,0.0164113784921938,45,42,93.3333333333333
A,Dit_A_S3_11_1,0.0164113787250244,49,2,4.08163265306122
A,Dit_A_S1_12_1,0.0169584245668375,53,53,100
A,Dit_A_S3_12_1,0.0169584246323211,44,12,27.2727272727273
