ID,Spp,ScientificName,Region,Eff_mean,Eff_sd,Ov_mean,Ov_sd
S1,PGL,Prionace glauca,AUSTRL,0.000139122,0.000117249,75,35.35533906
S2,PGL,Prionace glauca,AUSTRL,0.000334029,0.000494647,85.69444444,11.55034605
S3,PGL,Prionace glauca,AUSTRL,0.00064548,0.001617322,67.77777778,39.31316181
S4,PGL,Prionace glauca,AUSTRL,1.55E-05,4.72E-05,15,21.21320344
S5,PGL,Prionace glauca,AUSTRL,3.24E-06,7.25E-06,25,35.35533906
S6,PGL,Prionace glauca,AUSTRL,0.000154075,0.000387294,26.05820106,32.53161598
S7,PGL,Prionace glauca,AUSTRL,0,0,0,0
S8,PGL,Prionace glauca,AUSTRL,0,0,0,0
S9,PGL,Prionace glauca,AUSTRL,0,0,0,0
S10,PGL,Prionace glauca,AUSTRL,7.15E-05,0.000332728,11.11111111,19.24500897
S11,PGL,Prionace glauca,AUSTRL,0,0,0,0
S12,PGL,Prionace glauca,ATL_N,0.000138327,0.000481224,29.38182732,32.99529577
S13,PGL,Prionace glauca,ATL_N,2.99E-05,7.47E-05,33.33333333,41.63331999
S14,PGL,Prionace glauca,ATL_N,0.000266318,0.000458507,73.61111111,35.43708562
S15,PGL,Prionace glauca,IND_SW,5.34E-05,6.67E-05,100,NA
S16,PGL,Prionace glauca,IND_SW,0,0,0,0
S17,PGL,Prionace glauca,IND_SW,1.41E-05,3.50E-05,16.66666667,28.86751346
S18,PGL,Prionace glauca,IND_SW,6.46E-05,0.000100151,83.33333333,23.57022604
S19,PGL,Prionace glauca,IND_SW,2.10E-05,4.67E-05,33.33333333,57.73502692
S20,PGL,Prionace glauca,ATL_N,0.000417873,0.00045659,100,0
S21,PGL,Prionace glauca,ATL_N,0.000300066,0.000252534,100,0
S22,PGL,Prionace glauca,ATL_N,0.001096947,0.001200478,100,0
S23,PGL,Prionace glauca,ATL_N,0.00034229,0.000307715,92.85714286,10.10152545
S24,PGL,Prionace glauca,ATL_N,0.000701955,0.000568412,100,0
S25,PGL,Prionace glauca,ATL_N,0.000414734,0.000659789,100,0
S26,PGL,Prionace glauca,ATL_N,0.000130534,0.000147649,100,0
S27,PGL,Prionace glauca,ATL_N,0.000123133,6.23E-05,100,NA
S28,PGL,Prionace glauca,ATL_N,0.000104936,0.000189185,68.90756303,32.42652333
S29,PGL,Prionace glauca,ATL_N,0.000544115,0.000508374,100,0
S30,PGL,Prionace glauca,ATL_N,0.000597085,0.00097895,100,0
S31,PGL,Prionace glauca,ATL_N,0.000162211,0.000177804,75.85858586,13.1402456
S32,PGL,Prionace glauca,ATL_N,0.000368828,0.000344485,94.44444444,9.622504486
S33,PGL,Prionace glauca,ATL_N,0.000284981,0.000279671,100,0
S34,PGL,Prionace glauca,ATL_N,0.000454479,0.000448807,100,0
S35,PGL,Prionace glauca,ATL_N,0.000551551,0.000559894,100,0
S36,PGL,Prionace glauca,ATL_N,0.000357361,0.000556655,84.72222222,23.73334374
S37,PGL,Prionace glauca,ATL_N,0.000221318,0.000472041,87.5,17.67766953
S38,PGL,Prionace glauca,ATL_N,0.000365684,0.000735786,74.46969697,31.97528726
