ID,Spp,ScientificName,Region,month,Eff_mean,Eff_sd,Ov_mean,Ov_sd
S1,PGL,Prionace glauca,AUSTRL,10,4.71E-05,6.66E-05,50,NA
S1,PGL,Prionace glauca,AUSTRL,9,0.000231129,5.42E-05,100,NA
S2,PGL,Prionace glauca,AUSTRL,1,0.000510701,0.000762983,77.77777778,NA
S2,PGL,Prionace glauca,AUSTRL,10,0.000276015,0.000385065,90,NA
S2,PGL,Prionace glauca,AUSTRL,11,0.000346575,0.000379321,75,NA
S2,PGL,Prionace glauca,AUSTRL,9,0.000111976,7.71E-05,100,NA
S3,PGL,Prionace glauca,AUSTRL,1,0.000534224,0.000603447,88.88888889,NA
S3,PGL,Prionace glauca,AUSTRL,10,0.001684448,0.00325152,100,NA
S3,PGL,Prionace glauca,AUSTRL,11,8.96E-05,0.000179206,25,NA
S3,PGL,Prionace glauca,AUSTRL,2,0.000467325,0.000177485,100,NA
S3,PGL,Prionace glauca,AUSTRL,9,2.68E-05,5.37E-05,25,NA
S4,PGL,Prionace glauca,AUSTRL,7,0,0,0,NA
S4,PGL,Prionace glauca,AUSTRL,8,2.48E-05,5.88E-05,30,NA
S5,PGL,Prionace glauca,AUSTRL,7,0,0,0,NA
S5,PGL,Prionace glauca,AUSTRL,8,8.10E-06,1.15E-05,50,NA
S6,PGL,Prionace glauca,AUSTRL,3,0,NA,0,NA
S6,PGL,Prionace glauca,AUSTRL,4,0,0,0,NA
S6,PGL,Prionace glauca,AUSTRL,5,0.000164492,0.000432822,28.57142857,NA
S6,PGL,Prionace glauca,AUSTRL,6,0.000207016,0.000336664,77.77777778,NA
S6,PGL,Prionace glauca,AUSTRL,7,0.000401913,0.000776766,50,NA
S6,PGL,Prionace glauca,AUSTRL,8,0,0,0,NA
S7,PGL,Prionace glauca,AUSTRL,5,0,0,0,NA
S7,PGL,Prionace glauca,AUSTRL,6,0,0,0,NA
S8,PGL,Prionace glauca,AUSTRL,10,0,0,0,NA
S8,PGL,Prionace glauca,AUSTRL,11,0,0,0,NA
S8,PGL,Prionace glauca,AUSTRL,7,0,0,0,NA
S9,PGL,Prionace glauca,AUSTRL,10,0,0,0,NA
S9,PGL,Prionace glauca,AUSTRL,11,0,0,0,NA
S9,PGL,Prionace glauca,AUSTRL,12,0,0,0,NA
S9,PGL,Prionace glauca,AUSTRL,6,0,NA,0,NA
S9,PGL,Prionace glauca,AUSTRL,7,0,0,0,NA
S9,PGL,Prionace glauca,AUSTRL,8,0,0,0,NA
S10,PGL,Prionace glauca,AUSTRL,10,0,0,0,NA
S10,PGL,Prionace glauca,AUSTRL,11,0.00026201,0.000636445,33.33333333,NA
S10,PGL,Prionace glauca,AUSTRL,5,0,0,0,NA
S11,PGL,Prionace glauca,AUSTRL,5,0,NA,0,NA
S11,PGL,Prionace glauca,AUSTRL,6,0,NA,0,NA
S12,PGL,Prionace glauca,ATL_N,1,0.000210162,0.000343569,33.33333333,NA
S12,PGL,Prionace glauca,ATL_N,10,0,0,0,NA
S12,PGL,Prionace glauca,ATL_N,11,3.17E-05,7.41E-05,16.66666667,NA
S12,PGL,Prionace glauca,ATL_N,12,0.000408376,0.000996855,27.27272727,NA
S12,PGL,Prionace glauca,ATL_N,2,0.001010524,0.001131961,66.66666667,NA
S12,PGL,Prionace glauca,ATL_N,3,3.11E-05,9.84E-05,10,NA
S12,PGL,Prionace glauca,ATL_N,4,0,0,0,NA
S12,PGL,Prionace glauca,ATL_N,5,0,0,0,NA
S12,PGL,Prionace glauca,ATL_N,6,0,NA,0,NA
S12,PGL,Prionace glauca,ATL_N,7,8.01E-05,2.61E-05,100,NA
S12,PGL,Prionace glauca,ATL_N,8,9.62E-05,9.20E-05,69.23076923,NA
S12,PGL,Prionace glauca,ATL_N,9,1.93E-05,3.54E-05,29.41176471,NA
S13,PGL,Prionace glauca,ATL_N,10,0.00010701,0.000115919,80,NA
S13,PGL,Prionace glauca,ATL_N,11,7.38E-07,1.65E-06,20,NA
S13,PGL,Prionace glauca,ATL_N,2,0,0,0,NA
S14,PGL,Prionace glauca,ATL_N,7,0.000665347,0.000551935,100,NA
S14,PGL,Prionace glauca,ATL_N,8,0.000379522,0.000569739,87.5,NA
S14,PGL,Prionace glauca,ATL_N,9,3.27E-05,7.19E-05,33.33333333,NA
S15,PGL,Prionace glauca,IND_SW,4,5.34E-05,6.67E-05,100,NA
S16,PGL,Prionace glauca,IND_SW,6,0,NA,0,NA
S16,PGL,Prionace glauca,IND_SW,7,0,0,0,NA
S17,PGL,Prionace glauca,IND_SW,3,0,NA,0,NA
S17,PGL,Prionace glauca,IND_SW,4,0,0,0,NA
S17,PGL,Prionace glauca,IND_SW,5,4.59E-05,5.44E-05,50,NA
S18,PGL,Prionace glauca,IND_SW,2,0.000115182,0.000150612,100,NA
S18,PGL,Prionace glauca,IND_SW,3,3.51E-05,3.83E-05,66.66666667,NA
S19,PGL,Prionace glauca,IND_SW,4,0,0,0,NA
S19,PGL,Prionace glauca,IND_SW,5,0,0,0,NA
S19,PGL,Prionace glauca,IND_SW,6,7.86E-05,6.43E-05,100,NA
S20,PGL,Prionace glauca,ATL_N,6,0.000131255,NA,100,NA
S20,PGL,Prionace glauca,ATL_N,7,0.000513412,0.000507883,100,NA
S21,PGL,Prionace glauca,ATL_N,8,0.000314448,0.000217185,100,NA
S21,PGL,Prionace glauca,ATL_N,9,0.000285684,0.000317936,100,NA
S22,PGL,Prionace glauca,ATL_N,6,0.000630026,0.000540211,100,NA
S22,PGL,Prionace glauca,ATL_N,7,0.001245203,0.000998805,100,NA
S22,PGL,Prionace glauca,ATL_N,8,0.001259972,0.001899905,100,NA
S23,PGL,Prionace glauca,ATL_N,7,0.000305129,0.000311547,85.71428571,NA
S23,PGL,Prionace glauca,ATL_N,8,0.000385644,0.000326481,100,NA
S24,PGL,Prionace glauca,ATL_N,7,0.000593883,0.000643864,100,NA
S24,PGL,Prionace glauca,ATL_N,8,0.001026172,NA,100,NA
S25,PGL,Prionace glauca,ATL_N,8,0.000562784,0.001002039,100,NA
S25,PGL,Prionace glauca,ATL_N,9,0.000308984,0.000312071,100,NA
S26,PGL,Prionace glauca,ATL_N,7,4.66E-05,3.68E-05,100,NA
S26,PGL,Prionace glauca,ATL_N,8,0.00029835,NA,100,NA
S27,PGL,Prionace glauca,ATL_N,7,0.000123133,6.23E-05,100,NA
S28,PGL,Prionace glauca,ATL_N,6,4.89E-05,9.98E-05,71.42857143,NA
S28,PGL,Prionace glauca,ATL_N,7,1.98E-05,4.69E-05,35.29411765,NA
S28,PGL,Prionace glauca,ATL_N,8,0.000367597,0.000241799,100,NA
S29,PGL,Prionace glauca,ATL_N,8,0.000261015,NA,100,NA
S29,PGL,Prionace glauca,ATL_N,9,0.000638481,0.000578131,100,NA
S30,PGL,Prionace glauca,ATL_N,7,9.08E-05,NA,100,NA
S30,PGL,Prionace glauca,ATL_N,8,0.000861661,0.001147558,100,NA
S30,PGL,Prionace glauca,ATL_N,9,4.51E-05,NA,100,NA
S31,PGL,Prionace glauca,ATL_N,7,0.000156155,0.000161281,90.90909091,NA
S31,PGL,Prionace glauca,ATL_N,8,0.000144589,0.000187102,70,NA
S31,PGL,Prionace glauca,ATL_N,9,0.000202681,0.000216082,66.66666667,NA
S32,PGL,Prionace glauca,ATL_N,6,0.000131255,NA,100,NA
S32,PGL,Prionace glauca,ATL_N,7,0.000494145,0.000433988,83.33333333,NA
S32,PGL,Prionace glauca,ATL_N,8,0.000265961,0.000200042,100,NA
S33,PGL,Prionace glauca,ATL_N,7,9.08E-05,NA,100,NA
S33,PGL,Prionace glauca,ATL_N,8,0.000514792,0.000144431,100,NA
S33,PGL,Prionace glauca,ATL_N,9,1.96E-05,NA,100,NA
S34,PGL,Prionace glauca,ATL_N,7,0.000552612,0.000537829,100,NA
S34,PGL,Prionace glauca,ATL_N,8,0.000258213,0.000154262,100,NA
S35,PGL,Prionace glauca,ATL_N,10,0.00036023,NA,100,NA
S35,PGL,Prionace glauca,ATL_N,11,0.001011499,0.00080326,100,NA
S35,PGL,Prionace glauca,ATL_N,12,0.000601969,0.000349248,100,NA
S35,PGL,Prionace glauca,ATL_N,8,9.97E-05,9.77E-05,100,NA
S35,PGL,Prionace glauca,ATL_N,9,0.000115425,NA,100,NA
S36,PGL,Prionace glauca,ATL_N,10,0.000486347,0.00049685,88.88888889,NA
S36,PGL,Prionace glauca,ATL_N,11,0.000923014,0.000789106,100,NA
S36,PGL,Prionace glauca,ATL_N,8,8.85E-05,NA,100,NA
S36,PGL,Prionace glauca,ATL_N,9,5.64E-05,7.65E-05,50,NA
S37,PGL,Prionace glauca,ATL_N,5,5.78E-05,7.28E-05,75,NA
S37,PGL,Prionace glauca,ATL_N,6,0.000548288,0.000768656,100,NA
S38,PGL,Prionace glauca,ATL_N,1,0.00034838,0.000131718,100,NA
S38,PGL,Prionace glauca,ATL_N,10,0.000115888,0.00018316,50,NA
S38,PGL,Prionace glauca,ATL_N,11,0.000111283,0.000260488,18.18181818,NA
S38,PGL,Prionace glauca,ATL_N,12,0.000375769,0.000531846,90.90909091,NA
S38,PGL,Prionace glauca,ATL_N,6,0.000335587,0.000405607,91.66666667,NA
S38,PGL,Prionace glauca,ATL_N,7,3.10E-05,6.47E-05,45,NA
S38,PGL,Prionace glauca,ATL_N,8,0.000919289,0.0009644,100,NA
S38,PGL,Prionace glauca,ATL_N,9,0.002597778,0.001856747,100,NA
S39,PGL,Prionace glauca,ATL_N,1,0.000934476,0.001056252,100,NA
S39,PGL,Prionace glauca,ATL_N,10,0,0,0,NA
S39,PGL,Prionace glauca,ATL_N,11,1.30E-05,5.21E-05,6.25,NA
S39,PGL,Prionace glauca,ATL_N,12,0.000269266,0.000718107,28.57142857,NA
S39,PGL,Prionace glauca,ATL_N,6,0.000393422,0.000346877,92.85714286,NA
S39,PGL,Prionace glauca,ATL_N,7,4.29E-05,7.89E-05,28.57142857,NA
S39,PGL,Prionace glauca,ATL_N,8,3.73E-05,9.96E-05,20,NA
S39,PGL,Prionace glauca,ATL_N,9,0.000155939,0.000299329,44.44444444,NA
S40,PGL,Prionace glauca,ATL_N,6,9.64E-05,0.000112025,92.85714286,NA
S40,PGL,Prionace glauca,ATL_N,7,0.000173131,7.83E-05,100,NA
S41,PGL,Prionace glauca,ATL_N,6,0.000139509,0.000169354,100,NA
S41,PGL,Prionace glauca,ATL_N,7,0.000147151,0.000166895,77.77777778,NA
S41,PGL,Prionace glauca,ATL_N,8,0.000290847,0.00018011,100,NA
S41,PGL,Prionace glauca,ATL_N,9,0.000762844,0.000486476,100,NA
S42,PGL,Prionace glauca,ATL_N,6,0.000174939,0.000143285,100,NA
S43,PGL,Prionace glauca,ATL_N,6,0.000197052,0.00030111,69.23076923,NA
S43,PGL,Prionace glauca,ATL_N,7,0,NA,0,NA
S44,PGL,Prionace glauca,ATL_N,9,4.48E-05,1.87E-05,100,NA
S45,PGL,Prionace glauca,ATL_N,6,0.00023795,0.000251954,100,NA
S46,PGL,Prionace glauca,ATL_N,8,2.89E-05,NA,100,NA
S46,PGL,Prionace glauca,ATL_N,9,0.000165347,0.000141262,100,NA
S47,PGL,Prionace glauca,ATL_N,6,0.000560176,0.000442532,100,NA
S48,PGL,Prionace glauca,ATL_N,6,0.000221104,0.000331901,90.90909091,NA
S48,PGL,Prionace glauca,ATL_N,7,1.15E-05,2.64E-05,25,NA
S48,PGL,Prionace glauca,ATL_N,8,0,0,0,NA
S49,PGL,Prionace glauca,ATL_N,6,0.000331581,0.000416952,100,NA
S49,PGL,Prionace glauca,ATL_N,7,2.20E-05,2.37E-05,57.14285714,NA
S50,PGL,Prionace glauca,ATL_N,1,0.000708895,0.000703434,100,NA
S50,PGL,Prionace glauca,ATL_N,2,9.97E-05,0.000142873,54.54545455,NA
S51,PGL,Prionace glauca,ATL_N,2,0.000773749,0.00049247,100,NA
S51,PGL,Prionace glauca,ATL_N,3,0.000848925,0.000341578,100,NA
S52,PGL,Prionace glauca,ATL_N,1,0.000214891,0.000258118,100,NA
S52,PGL,Prionace glauca,ATL_N,2,3.53E-05,5.99E-05,36.36363636,NA
S53,PGL,Prionace glauca,ATL_N,10,2.68E-05,NA,100,NA
S53,PGL,Prionace glauca,ATL_N,9,5.62E-05,5.91E-05,100,NA
S54,PGL,Prionace glauca,ATL_N,1,7.84E-05,8.15E-05,80,NA
S54,PGL,Prionace glauca,ATL_N,2,0.000462842,0.000500197,100,NA
S54,PGL,Prionace glauca,ATL_N,3,0.000330055,0.000419169,81.81818182,NA
S55,PGL,Prionace glauca,ATL_N,1,3.08E-05,2.27E-05,85.71428571,NA
S55,PGL,Prionace glauca,ATL_N,2,0.000321482,0.00033581,100,NA
S56,PGL,Prionace glauca,ATL_N,1,5.62E-05,3.91E-05,80,NA
S56,PGL,Prionace glauca,ATL_N,2,0.000134347,7.16E-05,100,NA
S57,PGL,Prionace glauca,ATL_N,1,0.000187756,0.000101429,100,NA
S57,PGL,Prionace glauca,ATL_N,2,0.000140069,0.000105538,91.66666667,NA
S57,PGL,Prionace glauca,ATL_N,3,0.000213735,0.000240514,77.77777778,NA
S57,PGL,Prionace glauca,ATL_N,4,0.000256388,0.000499918,83.33333333,NA
S58,PGL,Prionace glauca,ATL_N,1,0.00021523,0.00011427,100,NA
