ID,CommonName,ScientificName,LENGTH_cm,SEX,TAG_TYPE,TAG_DATE,TAG_LAT,TAG_LONG,DAYS@LIBERTY,FINAL_LAT,FINAL_LONG,CAPTURE (Y/N),REGION
S798,Oceanic whitetip shark,Carcharhinus longimanus,161,F,PSAT,02/03/2012,-0.43,-37.63,104,-1.16,-34.93,,OTHER
S799,Oceanic whitetip shark,Carcharhinus longimanus,197,F,PSAT,06/12/2011,-3.59,-34.92,141,-9.87,-35.75,,OTHER
S800,Oceanic whitetip shark,Carcharhinus longimanus,134,F,PSAT,02/03/2012,-0.74,-37.53,101,-0.61,-36.27,,OTHER
S804,Oceanic whitetip shark,Carcharhinus longimanus,167,M,PSAT,16/01/2011,-0.14,-34.22,176,-4.52,-34.17,,OTHER
S1090,Tiger shark,Galeocerdo cuvier,238,F,PSAT,02/08/2012,-3.82,-32.42,10,-4.32,-33.9,,OTHER
S1092,Tiger shark,Galeocerdo cuvier,170,M,PSAT,17/09/2012,-8.19,-34.82,88,-3.97,-35.62,,OTHER
S1093,Tiger shark,Galeocerdo cuvier,310,F,PSAT,04/09/2012,-3.41,-34.97,37,-2.51,-44.04,,OTHER
S1094,Tiger shark,Galeocerdo cuvier,240,F,PSAT,01/08/2012,-3.82,-32.43,124,-0.91,-43.09,,OTHER
S1096,Tiger shark,Galeocerdo cuvier,162,M,PSAT,24/11/2013,-6.79,-34.78,10,-6.31,-34.64,,OTHER
S1097,Tiger shark,Galeocerdo cuvier,184,F,PSAT,31/08/2013,-8.18,-34.83,56,-12.56,-38.02,,OTHER
S1098,Tiger shark,Galeocerdo cuvier,251,M,SPOT,31/07/2014,-3.81,-32.41,51,-3.85,-32.52,,OTHER
S1099,Tiger shark,Galeocerdo cuvier,273,F,SPOT,02/08/2014,-3.82,-32.4,15,-3.79,-32.39,,OTHER
S1100,Tiger shark,Galeocerdo cuvier,203,M,SPOT,12/06/2016,-3.82,-32.44,30,-3.78,-32.43,,OTHER
S1102,Tiger shark,Galeocerdo cuvier,200,F,SPOT,06/05/2015,-3.82,-32.44,203,-4.88,-35.38,,OTHER
S1103,Tiger shark,Galeocerdo cuvier,180,F,PSAT,24/08/2012,-8.36,-34.93,32,-16.87,-37.12,,OTHER
S1104,Tiger shark,Galeocerdo cuvier,131,M,PSAT,28/06/2008,-8.17,-34.89,30,-7.48,-35.03,,OTHER
S1105,Tiger shark,Galeocerdo cuvier,120,F,PSAT,15/04/2011,-8.17,-34.75,29,-8.23,-34.87,,OTHER
S1106,Tiger shark,Galeocerdo cuvier,295,F,PSAT,06/01/2011,-8.21,-34.7,42,-4.03,-36.45,,OTHER
S1107,Tiger shark,Galeocerdo cuvier,193,M,PSAT,24/07/2009,-8.16,-34.89,7,-8.18,-34.75,,OTHER
S1108,Tiger shark,Galeocerdo cuvier,150,M,PSAT,07/08/2010,-8.17,-34.89,73,-4.24,-35.39,,OTHER
S1109,Tiger shark,Galeocerdo cuvier,130,M,PSAT,11/07/2011,-8.16,-34.88,43,-6.96,-34.81,,OTHER
S1110,Tiger shark,Galeocerdo cuvier,128,F,PSAT,01/06/2010,-8.21,-34.77,73,-8.06,-34.66,,OTHER
S1111,Tiger shark,Galeocerdo cuvier,270,F,PSAT,08/05/2011,-3,-38.44,18,-6.09,-34.96,,OTHER
S1112,Tiger shark,Galeocerdo cuvier,190,F,PSAT,22/12/2010,-8.33,-34.67,25,-4.76,-35.93,,OTHER
S1113,Tiger shark,Galeocerdo cuvier,134,F,PSAT,25/07/2011,-8.17,-34.77,43,-10.01,-35.58,,OTHER
S1114,Tiger shark,Galeocerdo cuvier,170,M,PSAT,15/08/2011,-11.27,-35.25,3,-12.53,-35.38,,OTHER
S1115,Tiger shark,Galeocerdo cuvier,156,M,PSAT,14/08/2011,-8.24,-34.91,59,-2.3,-34.79,,OTHER
S1116,Tiger shark,Galeocerdo cuvier,172,F,PSAT,23/08/2011,-8.25,-34.91,10,-7.6,-34.92,,OTHER
S1117,Tiger shark,Galeocerdo cuvier,190,M,PSAT,08/02/2011,-8.18,-34.68,23,-3.16,-36.92,,OTHER
S1231,Tiger shark,Galeocerdo cuvier,338,M,SPOT,21/06/2016,-7.9,-14.44,125,-10.81,-35.78,,OTHER
S1232,Tiger shark,Galeocerdo cuvier,335,F,SPOT,02/08/2016,-7.98,-14.44,157,-2.43,-25.73,,OTHER
S1560,Scalloped hammerhead shark,Sphyrna lewini,210,M,PSAT,07/08/2014,-2.58,-28.69,4,-4.57,-29.13,,OTHER
S1561,Scalloped hammerhead shark,Sphyrna lewini,200,F,PSAT,28/03/2012,0.85,-29.42,74,0.95,-29.53,,OTHER
S1562,Scalloped hammerhead shark,Sphyrna lewini,250,F,PSAT,08/10/2010,-0.5,-28.67,5,4.35,-29.89,,OTHER
S1563,Scalloped hammerhead shark,Sphyrna lewini,260,F,PSAT,08/10/2010,5,-28.58,5,1.35,-28.62,,OTHER
S1658,Galapagos shark,Carcharhinus galapagensis,270,M,PSAT,22/06/2016,-7.91,-14.33,64,-11.09,-14.45,,OTHER
S1659,Galapagos shark,Carcharhinus galapagensis,310,M,PSAT,20/06/2016,-7.9,-14.44,52,-8.91,-14.47,,OTHER
S1660,Galapagos shark,Carcharhinus galapagensis,280,F,PSAT,10/07/2016,-8.98,-13.93,38,-8.91,-15.25,,OTHER
S1661,Galapagos shark,Carcharhinus galapagensis,258,F,PSAT,14/08/2016,-7.95,-14.45,95,-7.44,-14.61,,OTHER
S1662,Galapagos shark,Carcharhinus galapagensis,293,M,PSAT,28/06/2016,-7.9,-14.44,48,-8.94,-13.68,,OTHER
S1663,Galapagos shark,Carcharhinus galapagensis,300,F,PSAT,14/08/2016,-7.96,-14.43,90,-8.08,-14.3,,OTHER
S1664,Galapagos shark,Carcharhinus galapagensis,173,M,SPOT,01/01/2017,-7.96,-14.43,11,-7.94,-14.43,,OTHER
S1665,Galapagos shark,Carcharhinus galapagensis,170,F,SPOT,19/07/2016,-7.9,-14.34,9,-7.9,-14.34,,OTHER
S1666,Galapagos shark,Carcharhinus galapagensis,195,M,SPOT,19/06/2016,-7.97,-14.42,62,-7.99,-14.43,,OTHER
S1667,Galapagos shark,Carcharhinus galapagensis,230,M,SPOT,14/08/2016,-7.96,-14.43,26,-7.98,-14.37,,OTHER
S1668,Galapagos shark,Carcharhinus galapagensis,296,F,SPOT,14/08/2016,-7.96,-14.44,26,-7.98,-14.47,,OTHER
S1669,Galapagos shark,Carcharhinus galapagensis,258,F,SPOT,14/08/2016,-7.95,-14.45,139,-7.98,-14.41,,OTHER
S1,Blue shark,Prionace glauca,251,U,SPOT,23/09/2004,-28.38,160.13,11,-27.01,161.62,,AUSTRL
S2,Blue shark,Prionace glauca,202,M,SPOT,23/09/2004,-28.45,160.28,127,-23.03,160.6,,AUSTRL
S3,Blue shark,Prionace glauca,228,F,SPOT,24/09/2004,-28.18,160.65,136,-22.6,165.26,,AUSTRL
S4,Blue shark,Prionace glauca,240,M,SPOT,10/07/2004,-34.21,152.87,52,-29.08,158.42,,AUSTRL
S5,Blue shark,Prionace glauca,224,F,SPOT,28/07/2005,-34.07,153.2,6,-36.45,153.76,,AUSTRL
S6,Blue shark,Prionace glauca,200,U,SPOT,26/03/2007,-43.1,147.49,137,-45.36,146.62,,AUSTRL
S7,Blue shark,Prionace glauca,159,F,PSAT,29/05/2014,-39.17,140.13,10,-40.04,139.64,,AUSTRL
S8,Blue shark,Prionace glauca,302,M,PSAT,16/07/2013,-37.95,139.9,126,-37.28,124.88,,AUSTRL
S9,Blue shark,Prionace glauca,216,F,PSAT,30/06/2013,-38.54,141.74,162,-8.87,112.06,,AUSTRL
S10,Blue shark,Prionace glauca,207,F,PSAT,07/05/2013,-38.17,140.3,184,-38.26,102.96,,AUSTRL
S11,Blue shark,Prionace glauca,178,F,PSAT,08/05/2013,-38.18,140.29,24,-38.56,140.6,,AUSTRL
S12,Blue shark,Prionace glauca,229,M,SPOT,28/07/2013,40.87,-71.72,320,9.92,-84.11,,ATL_N
S13,Blue shark,Prionace glauca,180,F,PSAT,21/10/2005,40.87,-70.86,129,18.5,-68.08,,ATL_N
S14,Blue shark,Prionace glauca,295,M,SPOT,12/07/2014,40.69,-71.51,72,38.73,-61.68,,ATL_N
