"ID","SHRK_NR","Spp","ScientificName","Region","TAG_TYPE","Eff_mean","Eff_median","Eff_sd","Eff_se","Ov_mean","Ov_median","Ov_sd","Ov_se"
"bk_ah121414","S1627","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah121415","S1628","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah132347","S1629","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah132348","S1630","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah132350","S1631","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah132351","S1632","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah132354","S1633","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah132359","S1634","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah132361","S1635","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah53964","S1636","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah53977","S1637","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,NA,NA
"bk_ah53978","S1638","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah53999","S1639","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah61001","S1640","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,NA,NA
"bk_ah61003","S1641","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah61007","S1642","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah61013","S1643","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_ah70695","S1644","OTHER","Carcharhinus limbatus","PAC_NE","SPOT",0,0,0,0,0,0,0,0
"bk_nh130987","S1645","OTHER","Carcharhinus limbatus","ATL_N","SPOT",0,0,0,0,0,0,0,0
"bl_bb41337","S1","PGL","Prionace glauca","AUSTRL","SPOT",0.000139121632757156,0.000143504709953254,0.000117249125702976,5.8624562851488e-05,75,75,35.3553390593274,25
"bl_bb52524","S2","PGL","Prionace glauca","AUSTRL","SPOT",0.000334029308242824,0.000173280358221615,0.000494647398309229,8.74421324101847e-05,85.6944444444445,83.8888888888889,11.5503460479399,5.77517302396994
"bl_bb52525","S3","PGL","Prionace glauca","AUSTRL","SPOT",0.000645479801108337,0.000251809863907328,0.00161732202501124,0.000317182944819066,67.7777777777778,88.8888888888889,39.3131618082039,17.5813804427185
"bl_bb52528","S4","PGL","Prionace glauca","AUSTRL","SPOT",1.54900045364827e-05,0,4.72002434896461e-05,1.18000608724115e-05,15,15,21.2132034355964,15
"bl_bb54740","S5","PGL","Prionace glauca","AUSTRL","SPOT",3.2406491725537e-06,0,7.24631184105852e-06,3.2406491725537e-06,25,25,35.3553390593274,25
"bl_bb62345","S6","PGL","Prionace glauca","AUSTRL","SPOT",0.000154074716101485,0,0.000387294408610179,7.07099613304728e-05,26.0582010582011,14.2857142857143,32.5316159829906,13.2809766110828
"bl_ch104244","S7","PGL","Prionace glauca","AUSTRL","PSAT",0,0,0,0,0,0,0,0
"bl_ch99695","S8","PGL","Prionace glauca","AUSTRL","PSAT",0,0,0,0,0,0,0,0
"bl_ch99696","S9","PGL","Prionace glauca","AUSTRL","PSAT",0,0,0,0,0,0,0,0
"bl_ch99698","S10","PGL","Prionace glauca","AUSTRL","PSAT",7.14571774481072e-05,0,0.000332728155824678,7.09378811735024e-05,11.1111111111111,0,19.2450089729875,11.1111111111111
"bl_ch99699","S11","PGL","Prionace glauca","AUSTRL","PSAT",0,0,0,0,0,0,0,0
"bl_gsk132346","S12","PGL","Prionace glauca","ATL_N","SPOT",0.000138327013310242,0,0.000481223615376281,4.74163717574322e-05,29.3818273230038,21.969696969697,32.9952957742854,9.52492144863751
"bl_gsk13951","S13","PGL","Prionace glauca","ATL_N","PSAT",2.99299062237163e-05,0,7.47124854213639e-05,1.76099016935825e-05,33.3333333333333,20,41.6333199893227,24.0370085030933
"bl_gsk141195","S14","PGL","Prionace glauca","ATL_N","SPOT",0.000266318409190305,3.7249351602165e-05,0.000458507420401172,0.00010252537602051,73.6111111111111,87.5,35.4370856171474,20.4596109203559
"bl_jd92740","S15","PGL","Prionace glauca","IND_SW","PSAT",5.33627063111723e-05,2.96503714991912e-05,6.66908216191618e-05,2.98250421231517e-05,100,100,NA,NA
"bl_jd92744","S16","PGL","Prionace glauca","IND_SW","PSAT",0,0,0,0,0,0,0,0
"bl_jd92746","S17","PGL","Prionace glauca","IND_SW","PSAT",1.4113486392515e-05,0,3.50063402312944e-05,9.70901189771308e-06,16.6666666666667,0,28.8675134594813,16.6666666666667
"bl_jd92748","S18","PGL","Prionace glauca","IND_SW","PSAT",6.46170892355911e-05,4.53640920368775e-05,0.000100151028210491,2.29762216348012e-05,83.3333333333333,83.3333333333333,23.5702260395516,16.6666666666667
"bl_jd94243","S19","PGL","Prionace glauca","IND_SW","PSAT",2.09710491840245e-05,0,4.67160859487693e-05,1.20620415253052e-05,33.3333333333333,0,57.7350269189626,33.3333333333333
"bl_nh159311","S20","PGL","Prionace glauca","ATL_N","SPOT",0.000417873037046596,0.000223642813125028,0.00045658989343911,0.000228294946719555,100,100,0,0
"bl_nh159312","S21","PGL","Prionace glauca","ATL_N","SPOT",0.00030006598528757,0.000218658209567391,0.000252533882194242,8.92842102894565e-05,100,100,0,0
"bl_nh159314","S22","PGL","Prionace glauca","ATL_N","SPOT",0.00109694691637961,0.000630025843753404,0.00120047789984924,0.000424433031823992,100,100,0,0
"bl_nh159316","S23","PGL","Prionace glauca","ATL_N","SPOT",0.000342289867519237,0.000209680974238242,0.00030771482975657,8.53447382236911e-05,92.8571428571428,92.8571428571428,10.1015254455221,7.14285714285715
"bl_nh159318","S24","PGL","Prionace glauca","ATL_N","SPOT",0.000701955410431956,0.000690859014740922,0.000568411799828049,0.000284205899914024,100,100,0,0
"bl_nh159319","S25","PGL","Prionace glauca","ATL_N","SPOT",0.000414733850324886,0.000196927661382849,0.00065978883581267,0.000190464630982377,100,100,0,0
